Time CK_0002a CK_0002b CK_0003a CK_0003b CK_0004a CK_0004b CK_0005a CK_0005b CK_0006a CK_0006b CK_0007a CK_0007b CK_0008a CK_0008b CK_0009a CK_0009b driver_0010a driver_0010b driver_0011a driver_0011b driver_0012a driver_0012b out_o
72 -1.333333e+00 -1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 2 2 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 1.078727e-04
73 -6.666667e-01 -6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 2 2 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -1.065781e-02
74 0 0 0 0 0 0 0 0 2 2 0 0 0 0 0 0 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -8.472805e-02
75 6.666667e-01 6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 2 2 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -6.954439e-02
76 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 2 2 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -5.759881e-02
77 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -5.992321e-02
78 2 2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -5.992729e-02
79 2 2 -2 -2 -2 -2 -2 -2 1.333333e+00 1.333333e+00 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -5.996181e-02
80 2 2 -2 -2 -2 -2 -2 -2 6.666667e-01 6.666667e-01 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -5.997519e-02
81 2 2 -2 -2 -2 -2 -2 -2 0 0 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -5.998263e-02
82 2 2 -2 -2 -2 -2 -2 -2 -6.666667e-01 -6.666667e-01 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -5.999138e-02
83 2 2 -2 -2 -2 -2 -2 -2 -1.333333e+00 -1.333333e+00 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -6.008004e-02
84 2 2 -2 -2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 9.290000e-01 -9.240000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -6.002437e-02
85 2 2 -2 -2 -2 -2 -2 -2 -2 -2 2 2 2 2 2 2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -6.000728e-02
86 1.333333e+00 1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -2 -2 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -5.451770e-02
87 6.666667e-01 6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -2 -2 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -6.902044e-02
88 0 0 0 0 0 0 0 0 -2 -2 0 0 0 0 0 0 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -8.565047e-02
89 -6.666667e-01 -6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 6.666667e-01 -2 -2 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -6.666667e-01 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 -9.267186e-03
90 -1.333333e+00 -1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 1.333333e+00 -2 -2 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -1.333333e+00 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 1.132825e-03
91 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 7.917953e-04
92 -2 -2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 7.917983e-04
93 -2 -2 2 2 2 2 2 2 -1.333333e+00 -1.333333e+00 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 7.800697e-04
94 -2 -2 2 2 2 2 2 2 -6.666667e-01 -6.666667e-01 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 8.743006e-04
95 -2 -2 2 2 2 2 2 2 0 0 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 1.231553e-03
96 -2 -2 2 2 2 2 2 2 6.666667e-01 6.666667e-01 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 1.384756e-03
97 -2 -2 2 2 2 2 2 2 1.333333e+00 1.333333e+00 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 1.350281e-03
98 -2 -2 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 1.399961e-03
99 -2 -2 2 2 2 2 2 2 2 2 -2 -2 -2 -2 -2 -2 -9.240000e-01 9.290000e-01 -9.240000e-01 9.290000e-01 9.290000e-01 -9.240000e-01 1.399967e-03
